accession,target,input_measurement_set,description,analysis_step_version
IGVFDS5465EDQZ,H3K4me3,IGVFDS6141QFVR,"Establish where active promoters lie in parental Hs27 fibroblasts, as a baseline for interpreting the transcription factor perturbation experiments carried out in this cell line. The histone modification H3K4me3 was profiled by CUT&RUN in two biological replicates and reported as genome-wide coverage normalized for sequencing depth.",PENDING - see cutrun_analysis_step_version.csv
IGVFDS6938GALL,H3K27ac,IGVFDS7154HHWN,"Establish where active enhancers and promoters lie in parental Hs27 fibroblasts, as a baseline for interpreting the transcription factor perturbation experiments carried out in this cell line. The histone modification H3K27ac was profiled by CUT&RUN in two biological replicates and reported as genome-wide coverage normalized for sequencing depth.",PENDING - see cutrun_analysis_step_version.csv
IGVFDS8522VRST,H3K27me3,IGVFDS8014KPTJ,"Establish where polycomb-repressed chromatin lies in parental Hs27 fibroblasts, as a baseline for interpreting the transcription factor perturbation experiments carried out in this cell line. The histone modification H3K27me3 was profiled by CUT&RUN in two biological replicates and reported as genome-wide coverage normalized for sequencing depth.",PENDING - see cutrun_analysis_step_version.csv
IGVFDS0089EIMW,IgG,IGVFDS3000EQWJ,"Measure the non-specific background of the CUT&RUN assay in parental Hs27 fibroblasts, so that signal in the histone modification datasets from the same cells can be told apart from background. A non-specific IgG antibody was substituted for the target antibody in two biological replicates, and the result is reported as genome-wide coverage normalized for sequencing depth.",PENDING - see cutrun_analysis_step_version.csv
