accession,analysis_set,target,antibody,replicate,library,md5sum,content_type,filtered,normalized,strand_specificity,file_format,reference_files,description,current_content_type,current_normalized,current_reference_files
IGVFFI4865LLEJ,IGVFDS5465EDQZ,H3K4me3,Epicypher 13-0041,1,RA480-1,b2c1016d03a3e5c409a9702f87b9624e,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K4me3 in parental Hs27 fibroblasts, biological replicate 1 (library RA480-1), antibody Epicypher 13-0041. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 3.62 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI9030WSCX,IGVFDS5465EDQZ,H3K4me3,Epicypher 13-0041,2,RA480-2,250c127cbea75d021dfcba843a4418e7,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K4me3 in parental Hs27 fibroblasts, biological replicate 2 (library RA480-2), antibody Epicypher 13-0041. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 5.38 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI3631QNSO,IGVFDS8522VRST,H3K27me3,CST 9733,1,RA480-3,c2f8174c2f786b2966b43a839a0c1da7,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K27me3 in parental Hs27 fibroblasts, biological replicate 1 (library RA480-3), antibody CST 9733. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 2.80 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI1865NTKM,IGVFDS8522VRST,H3K27me3,CST 9733,2,RA480-4,870496dce611679d5b09e89c77c53ad5,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K27me3 in parental Hs27 fibroblasts, biological replicate 2 (library RA480-4), antibody CST 9733. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 2.58 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI1472HREP,IGVFDS6938GALL,H3K27ac,Millipore MABE647,1,RA480-5,feec3f221a418eea1035f46cb819bcb2,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K27ac in parental Hs27 fibroblasts, biological replicate 1 (library RA480-5), antibody Millipore MABE647. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 3.09 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI7555NGXG,IGVFDS6938GALL,H3K27ac,Millipore MABE647,2,RA480-6,400f5a76aa3d48d140fb020897c99df1,read-depth signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN signal for the histone modification H3K27ac in parental Hs27 fibroblasts, biological replicate 2 (library RA480-6), antibody Millipore MABE647. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 3.39 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI6525PXBV,IGVFDS0089EIMW,IgG,Epicypher 13-0042,1,RA480-7,3739b832c723d848bfb7d75206af78af,control signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN background signal in parental Hs27 fibroblasts, biological replicate 1 (library RA480-7), using non-specific IgG (Epicypher 13-0042) in place of a target antibody. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 5.57 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
IGVFFI3258CYNL,IGVFDS0089EIMW,IgG,Epicypher 13-0042,2,RA480-8,5c5da05e06cc81d4a3e90e3c05433f02,control signal,TRUE,TRUE,unstranded,bigWig,IGVFFI0653VCGH,"CUT&RUN background signal in parental Hs27 fibroblasts, biological replicate 2 (library RA480-8), using non-specific IgG (Epicypher 13-0042) in place of a target antibody. Duplicate-removed reads counted in 25 bp bins on GRCh38 and scaled by 4.64 to normalize to 10 million mapped reads.",signal,FALSE,IGVFFI8743BGYR
