accession	file	target	replicate	library	scale_factor	implied_depth	bin_bp	mean_signal	max_signal	implied_mean_fragment_bp	contigs	genome_bp	breadth_pct	intervals_sampled	exact_multiples_pct	starts_off_bin_grid	ends_off_bin_grid	of_those_at_contig_end
IGVFFI4865LLEJ	CnR_HS27_WT_H3K4me3_Epicypher_13-0041_rep1_RA480-1_IGO_14046_AP_1_S147_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K4me3	1	RA480-1	3.62	2,762,431	25	1.5798	4448.98	465	194	3,099,750,718	100.0	745,492	100.00	0	32	32
IGVFFI9030WSCX	CnR_HS27_WT_H3K4me3_Epicypher_13-0041_rep2_RA480-2_IGO_14046_AP_2_S148_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K4me3	2	RA480-2	5.38	1,858,736	25	1.5965	5175.56	470	194	3,099,750,718	100.0	695,883	100.00	0	48	48
IGVFFI3631QNSO	CnR_HS27_WT_H3K27me3_CST_9733_rep1_RA480-3_IGO_14046_AP_3_S160_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K27me3	1	RA480-3	2.80	3,571,429	25	1.5407	1251.60	453	194	3,099,750,718	100.0	764,042	100.00	0	22	22
IGVFFI1865NTKM	CnR_HS27_WT_H3K27me3_CST_9733_rep2_RA480-4_IGO_14046_AP_4_S161_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K27me3	2	RA480-4	2.58	3,875,969	25	1.5169	913.32	445	194	3,099,750,718	100.0	760,872	100.00	0	24	24
IGVFFI1472HREP	CnR_HS27_WT_H3K27ac_Millipore_MABE647_rep1_RA480-5_IGO_14046_AP_5_S162_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K27ac	1	RA480-5	3.09	3,236,246	25	1.5227	6244.89	447	194	3,099,750,718	100.0	757,717	100.00	0	22	22
IGVFFI7555NGXG	CnR_HS27_WT_H3K27ac_Millipore_MABE647_rep2_RA480-6_IGO_14046_AP_6_S163_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	H3K27ac	2	RA480-6	3.39	2,949,852	25	1.5525	6925.77	456	194	3,099,750,718	100.0	754,855	100.00	0	23	23
IGVFFI6525PXBV	CnR_HS27_WT_IgG_Epicypher_13-0042_rep1_RA480-7_IGO_14046_AP_7_S149_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	IgG	1	RA480-7	5.57	1,795,332	25	1.6392	15874.50	483	194	3,099,750,718	100.0	722,018	100.00	0	36	36
IGVFFI3258CYNL	CnR_HS27_WT_IgG_Epicypher_13-0042_rep2_RA480-8_IGO_14046_AP_8_S150_L004_R1_001_hg38_sorted.RmDup.10mNorm.bw	IgG	2	RA480-8	4.64	2,155,172	25	1.7362	13780.80	513	194	3,099,750,718	100.0	743,147	100.00	0	31	31
