library	target	replicate	bigwig_accession	bam_mapped_reads	bam_properpair_fragments	macs2_total_tags	bam_bothmapped_pairs_mapq10	bw2023_scale_factor	bw2023_implied_fragments	recon_delta_pct	peaks_2023	peaks_rerun2026	peaks_delta_pct
RA480-1	H3K4me3	1	IGVFFI4865LLEJ	6030010	2625444	2625444	2758513	3.62	2762431	-0.14	27054	29348	8.5
RA480-2	H3K4me3	2	IGVFFI9030WSCX	4064712	1727547	1727547	1841593	5.38	1858736	-0.92	23561	25686	9.0
RA480-3	H3K27me3	1	IGVFFI3631QNSO	7477672	3367150	3367150	3543493	2.8	3571429	-0.78	89597	97248	8.5
RA480-4	H3K27me3	2	IGVFFI1865NTKM	8087898	3688253	3688253	3853586	2.58	3875969	-0.58	103339	112453	8.8
RA480-5	H3K27ac	1	IGVFFI1472HREP	6915574	3124448	3124448	3212981	3.09	3236246	-0.72	43933	49511	12.7
RA480-6	H3K27ac	2	IGVFFI7555NGXG	6303945	2836355	2836355	2937982	3.39	2949852	-0.4	31195	35055	12.4
RA480-7	IgG	1	IGVFFI6525PXBV	4040539	1714680	1714680	1768850	5.57	1795332	-1.48	14571	15531	6.6
RA480-8	IgG	2	IGVFFI3258CYNL	4819006	1877592	1877592	2098034	4.64	2155172	-2.65	16598	16868	1.6
